Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
reedy,1,1,4400,71,0.21,navigational,https://www.reedyandcompany.com/,3406,19.45,739.00,0.02,12300000,"[54,54,66,66,44,44,54,54,44,54,44,44]",2026-04-22,Organic,Image pack,"Instant answer, Video Carousel"
for rent houses memphis,4,8,6600,44,0.42,informational,https://www.reedyandcompany.com/rental-properties/,271,2.37,180.00,0.64,4990000,"[2,81,100,81,81,81,0,3,23,54,36,81]",2026-04-27,Organic,,Local pack
houses for rent memphis tn,5,11,3600,44,0.42,informational,https://www.reedyandcompany.com/rental-properties/,112,0.87,66.00,0.64,110,"[44,44,44,36,44,36,36,29,29,24,24,24]",2026-04-24,Organic,,
tenancy at will,1,0,2400,19,0.44,informational,https://www.reedyandcompany.com/blog/tenant-at-will-explained-everything-you-need-to-know/,98,0.54,43.00,0.02,25400000,"[53,44,44,44,44,44,44,35,35,35,24,29]",2026-04-27,People also ask,,
houses for rent memphis,3,8,1600,39,0.42,informational,https://www.reedyandcompany.com/rental-properties/,93,0.72,55.00,0.64,9670000,"[65,55,55,44,44,34,65,55,55,55,44,65]",2026-04-16,Organic,,
houses for rent in memphis tn,4,6,2400,43,0.42,informational,https://www.reedyandcompany.com/rental-properties/,72,0.86,65.00,0.64,3060000,"[44,10,19,19,15,15,36,10,13,15,15,36]",2026-04-23,Organic,,
rental companies near me,0,6,8100,75,1.88,transactional,https://www.reedyandcompany.com/,-72,0,0.00,0.45,439000000,"[36,19,44,36,29,44,54,24,24,29,16,29]",2026-04-21,Organic,,
rental management companies near me,7,3,2400,68,5.62,transactional,https://www.reedyandcompany.com/,-68,0.08,89.00,0.59,219000000,"[66,23,35,35,19,8,19,23,29,19,16,16]",2026-04-26,Organic,People also ask,
homes for rent in memphis tn,7,4,1300,38,0.49,informational,https://www.reedyandcompany.com/rental-properties/,-65,0.21,19.00,0.61,2680000,"[36,19,19,19,24,15,24,10,24,13,15,19]",2026-04-20,Organic,,
reedy company rentals,2,1,50,29,12.94,navigational,https://www.reedyandcompany.com/,-55,0,12.00,0.32,1310000,"[7,7,3,10,10,7,4,7,4,5,5,4]",2026-04-23,Organic,,
rental properties near me,13,0,18100,62,0.51,transactional,https://www.reedyandcompany.com/rental-properties/,54,0.29,27.00,0.66,196000000,"[36,66,36,36,36,29,36,44,36,44,36,36]",2026-04-25,Organic,,
rental property income statement,0,1,880,23,6.94,informational,https://www.reedyandcompany.com/blog/real-estate-finance-why-you-need-a-rental-property-income-statement/,-53,0,0.00,0.7,127000000,"[7,11,8,11,82,100,20,44,44,8,5,3]",2026-04-07,AI overview,,
tenancy at will,6,0,2400,19,0.44,informational,https://www.reedyandcompany.com/blog/tenant-at-will-explained-everything-you-need-to-know/,52,0.28,22.00,0.02,25400000,"[53,44,44,44,44,44,44,35,35,35,24,29]",2026-04-27,Organic,,
homes for rent,36,0,165000,61,0.57,informational,https://www.reedyandcompany.com/rental-properties/,49,0.27,27.00,0.65,578000000,"[67,67,67,67,67,67,67,67,67,67,81,100]",2026-04-24,Organic,,
ready and company,1,2,70,34,0.46,navigational,https://www.reedyandcompany.com/,47,0.3,25.00,0.02,3070000000,"[0,0,0,0,1,1,1,1,1,1,1,1]",2026-04-25,Organic,,
reedy company rentals,1,0,50,29,12.94,navigational,https://www.reedyandcompany.com/rental-properties/,40,0.22,517.00,0.32,1310000,"[7,7,3,10,10,7,4,7,4,5,5,4]",2026-04-23,Organic,,
rent and home,0,18,27100,93,0.50,informational,https://www.reedyandcompany.com/rental-properties/,-40,0,0.00,0.7,1440000000,"[0,16,100,66,66,81,0,1,20,0,0,0]",2026-04-03,Organic,,
reedy rentals,1,1,70,36,0.77,informational,https://www.reedyandcompany.com/rental-properties/,39,0.3,43.00,0.27,1330000,"[50,78,35,100,64,35,28,28,21,14,14,50]",2026-04-06,Organic,Top stories,
