Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
reedy,1,1,4400,71,0.21,https://www.reedyandcompany.com/,3520,19.45,739.00,0.02,12300000,"[54,54,66,66,44,44,54,54,44,54,44,44]",2026-04-22,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches",navigational,Organic
reedy and company,1,1,4400,52,0.46,https://www.reedyandcompany.com/,3520,19.45,1619.00,0.02,8940000,"[44,36,44,44,44,36,36,36,36,36,29,29]",2026-04-22,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
reedy and company memphis tennessee,1,1,2900,47,0.46,https://www.reedyandcompany.com/,2320,12.82,1067.00,0.02,199000,"[3,81,100,100,43,54,1,0,24,36,43,54]",2026-04-25,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
reedy & company memphis,1,1,2900,47,0.46,https://www.reedyandcompany.com/,2320,12.82,1067.00,0.02,258000,"[3,81,100,100,43,54,1,13,24,36,43,54]",2026-04-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
reedy & company,1,1,720,51,0.46,https://www.reedyandcompany.com/rental-properties/,576,3.18,264.00,0.02,0,"[20,20,20,20,24,20,36,27,13,16,20,16]",2026-03-11,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
for rent houses memphis,4,7,6600,44,0.42,https://www.reedyandcompany.com/rental-properties/,429,2.37,180.00,0.64,4990000,"[2,81,100,81,81,81,0,3,23,54,36,81]",2026-04-27,"Video, Image, Related searches",informational,Organic
reedy and company memphis tn,1,1,480,48,0.54,https://www.reedyandcompany.com/,384,2.12,207.00,0.23,122,"[81,54,67,44,44,54,54,44,54,54,36,29]",2026-03-31,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
reedy company,1,1,320,50,0.46,https://www.reedyandcompany.com/,256,1.41,117.00,0.02,123,"[8,8,7,7,7,7,8,8,100,11,8,11]",2026-03-23,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
houses for rent memphis tn,5,5,3600,44,0.42,https://www.reedyandcompany.com/rental-properties/,158,0.87,66.00,0.64,110,"[44,44,44,36,44,36,36,29,29,24,24,24]",2026-04-24,"Video, Related searches",informational,Organic
houses for rent in memphis tn,4,4,2400,43,0.42,https://www.reedyandcompany.com/rental-properties/,156,0.86,65.00,0.64,3060000,"[44,10,19,19,15,15,36,10,13,15,15,36]",2026-04-23,"Video, Ads bottom, Related searches",informational,Organic
reedy and company memphis,1,1,170,43,0.54,https://www.reedyandcompany.com/,136,0.75,73.00,0.23,120,"[100,35,66,28,43,82,23,28,53,12,17,17]",2026-03-21,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
reedy and company in memphis tennessee,1,1,170,36,0.54,https://www.reedyandcompany.com/,136,0.75,73.00,0.23,97,"[43,43,28,28,53,82,35,28,53,53,66,35]",2026-03-26,"Knowledge panel, Video, Related searches","informational, transactional",Organic
houses for rent memphis,3,3,1600,39,0.42,https://www.reedyandcompany.com/rental-properties/,131,0.72,55.00,0.64,9670000,"[65,55,55,44,44,34,65,55,55,55,44,65]",2026-04-16,"Video, Related searches",informational,Organic
reedy company memphis tn,1,1,140,42,0.54,https://www.reedyandcompany.com/,112,0.61,60.00,0.23,114000,"[80,66,66,52,52,80,33,52,66,52,33,52]",2026-03-26,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
homes for rent memphis tn,5,5,2400,40,0.49,https://www.reedyandcompany.com/rental-properties/,105,0.58,51.00,0.61,3580000,"[53,44,44,53,44,44,44,35,35,35,35,35]",2026-04-24,"Video, Related searches",commercial,Organic
tenancy at will,1,0,2400,19,0.44,https://www.reedyandcompany.com/blog/tenant-at-will-explained-everything-you-need-to-know/,98,0.54,43.00,0.02,25400000,"[53,44,44,44,44,44,44,35,35,35,24,29]",2026-04-27,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
reedy & company memphis property rentals photos,1,1,110,26,0.36,https://www.reedyandcompany.com/rental-properties/,88,0.48,31.00,0.22,9340,"[80,65,100,80,53,53,26,11,11,7,11,11]",2026-04-08,"Knowledge panel, Video, Image, People also ask, Related searches","informational, transactional",Organic
reedyandcompany,1,1,110,41,0.00,https://www.reedyandcompany.com/,88,0.48,0.00,0,76,"[34,34,28,34,34,28,34,34,28,34,34,28]",2026-04-13,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
reedy & company memphis property rentals,1,1,90,33,0.63,https://www.reedyandcompany.com/rental-properties/,72,0.39,45.00,0.32,125000,"[10,10,12,12,7,10,10,12,5,5,5,5]",2026-04-01,"Knowledge panel, Video, Related searches",navigational,Organic
reedy and company houses for rent,1,1,70,25,0.24,https://www.reedyandcompany.com/rental-properties/,56,0.3,13.00,0.45,206000,"[5,5,5,5,12,23,23,17,17,28,23,23]",2026-04-10,"Knowledge panel, Video, Related searches",transactional,Organic
reedy and company tenant portal login memphis tn,1,1,70,25,0.00,https://www.reedyandcompany.com/,56,0.3,0.00,0.01,755,"[36,45,18,36,100,81,63,45,36,36,63,81]",2026-03-16,"Sitelinks, Related searches","navigational, transactional",Organic
reedy rentals,1,1,70,36,0.77,https://www.reedyandcompany.com/rental-properties/,56,0.3,43.00,0.27,1330000,"[50,78,35,100,64,35,28,28,21,14,14,50]",2026-04-06,"Knowledge panel, Top stories, Sitelinks, Video, Related searches",informational,Organic
reddy company,1,1,70,54,0.51,https://www.reedyandcompany.com/,56,0.3,28.00,0.03,0,"[26,26,19,19,15,26,42,15,26,42,26,53]",2026-03-08,"Local pack, Sitelinks, Video, Related searches",navigational,Organic
ready and company,1,1,70,34,0.46,https://www.reedyandcompany.com/,56,0.3,25.00,0.02,3070000000,"[0,0,0,0,1,1,1,1,1,1,1,1]",2026-04-25,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
